#,Title (English),Title (Sindhi),Author (English),Author (Sindhi),Year,Publisher,Category,Language,Link,Thumbnail
2572,Sindhi Bolia Jo Nisab,سنڌي ٻوليء جو نصاب (مادري ۽ غير مادري زبان),Unknown,اڻڄاتل,1978,"Bureau of Curriculum & Extension Wing (BCEW), Sindh, Hyderabad.",Textbook,Sindhi,https://lib.sindh.org/download/6947,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/6761244101be7.png
2573,Sindh Ja Qadeem Aasaar [The Antiquities Of Sind],سنڌ جا قديم آثار,Henry Cousens,ھينري ڪزنس (سنڌيڪار عطا محمد ڀنڀرو),1995,"Sindhi Adabi Board, Jamshoro.",Archeology / Architecture,Sindhi,https://lib.sindh.org/download/6946,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/67611cd77265e.png
2574,Sindhi Zuban wa Adab Ki Tareekh,سندھی زبان و ادب کی تاریخ,Dr. Nabi Bakhsh Khan Baloch,ڈاکٹر نبی بخش خان بلوچ (مترجم شزرہ سکندری),2009,"Sindhi Adabi Board, Jamshoro.",History,Urdu,https://lib.sindh.org/download/6945,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/6761184497a6d.png
2575,Rat Muhanje Rooh Mein,رات منھنجي روح ۾ (ڪھاڻيون),Ghulam Nabi Mughal,غلام نبي مغل,1983,"Sugandh Publication, Larkano.",Fiction,Sindhi,https://lib.sindh.org/download/6944,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/67611761c1776.png
2576,Deen wa Mazhab,دين و مذھب,Abdul Aleem,عبدالعليم,1964,"Abdul Aleem, Hyderabad.",Religion,Sindhi,https://lib.sindh.org/download/6943,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/676116ee45d60.png
2577,Des Suta Dil Wara Jagiya,ديس ستا دل وارا جاڳيا (ڪھاڻيون),Rasheed Bhatti,رشيد ڀٽي,1985,"Sindhi Adab Academy, Hyderabad.",Fiction,Sindhi,https://lib.sindh.org/download/6942,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/676115004ca9d.png
2578,Khan Muhammad Panhwar,خان محمد پنھور (سنڌ جي ٻھڳڻي شخصيت),Nasir Ali Panhwar,ناصر علي پنھور,2004,"Khan Muhammad Panhwar Memorial Trust, Jamshoro.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/6941,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/6761149229827.png
2579,Haqeeqi Zindagi,حقيقي زندگي,Haji Muhammad Hajan Sail Memon,حاجي محمد حاجن سائل ميمڻ,1995,"Haji Muhammad Hajan Memon, Matiari.",Religion,Sindhi,https://lib.sindh.org/download/6940,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/676113e4b8f9d.png
2580,Harees Patlo Urf Wafa Jee Devi,حريص پتلو عرف وفا جي ديوي (ناٽڪ),Agha Abdul Nabi Khan Aleg,آغا عبدالنبي خان ”عليگ“,1976,"Sindhi Adabi Board, Hyderabad.",Fiction,Sindhi,https://lib.sindh.org/download/6939,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/676112fbdf408.png
2581,Janam Qedi,جنم قيدي,Yousif Baloch,يوسف بلوچ,1977,"Umar Memon, Hyderabad.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/6938,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/67600e0eddcf9.png
2582,Torhi Phatak Tribunal Aado Bayan,ٽوڙھي ڦاٽڪ ٽربيونل آڏو بيان,Dr. Hamida Khuhro,ڊاڪٽر حميدہ کھڙو,1986,"Marvi Literary & Foundation, Karachi.",Politics,Sindhi,https://lib.sindh.org/download/6937,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/6760020480294.png
2583,"Mehr Monthly (Vol. 16, Issue 2, 2020)",توئى مہر (جلد 16، شمارو 2، 2020),Mumtaz Ahmed Brahui,ممتاز احمد براہوئى,2020,"Mumtaz Brahui, Noshki.",Magazine / Journal,Other,https://lib.sindh.org/download/6936,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675ffdf3813f0.png
2584,Taleem Jee Tareekh,تعليم جي تاريخ,Ghulam Rasool Soomro,غلام رسول سومرو,اڻڄاتل,"Sindhi Adabi Society, Rohri.",History,Sindhi,https://lib.sindh.org/download/6935,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675ffbaa630bf.png
2585,Tareekh Parhain Ja Usool,تاريخ پڙھائڻ جا اصول,Muhammad Ismail Ursani et al.,محمد اسماعيل عرساڻي ۽ ٻيا,1970,"Ronaq Publication, Hyderabad.",Education / Pedagogy,Sindhi,https://lib.sindh.org/download/6934,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675ffaeb7ee9e.png
2586,Peela Gul Sarinhan Ja,پيلا گل سرنھن جا (شاعري),Ali Nawaz Naz Tunio,علي نواز ناز تنيو,1984,"Ali Series, Jamshoro.",Poetry,Sindhi,https://lib.sindh.org/download/6933,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675ffa343a77f.png
2587,Baghat,باغات,Haq Nawaz Mughal,حق نواز مغل,1961,"Agriculture Department, Hyderabad.",Agriculture/ Horticulture,Sindhi,https://lib.sindh.org/download/6932,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675ff7fa85bab.png
2588,Inqlabi Kadam (2011 April),انقلابي قدم (2011 اپريل),Unknown,اڻڄاتل,2011,Unknown,Magazine / Journal,Sindhi,https://lib.sindh.org/download/6931,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675ff70c8c5a3.png
2589,Upanishadan Maan Aakhaniyoon,اپنشدن مان آکاڻيون,Shri Prabhudas Brahmachari,شري پرڀداس برھمچاري,1956,"Shri Prabhudas Brahmachari, Ajmer.",Fiction,Sindhi,https://lib.sindh.org/download/6930,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675ff64d6a92e.png
2590,Sartyoon Monthly (2015 August-December),ماھوار سرتيون (2015 آگسٽ-ڊسمبر),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2015,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6929,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fdbe155980.png
2591,Sartyoon Monthly (2015 July),ماھوار سرتيون (2015 جولاء),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2015,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6928,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fdb852c83b.png
2592,Sartyoon Monthly (2015 June),ماھوار سرتيون (2015 جون),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2015,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6927,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fdb5f218fc.png
2593,Sartyoon Monthly (2013 October-December),ماھوار سرتيون (2013 آڪٽوبر-ڊسمبر),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2013,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6926,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd9a60e63f.png
2594,Sartyoon Monthly (2013 May-June),ماھوار سرتيون (2013 مئي-جون),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2013,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6925,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd94828205.png
2595,Sartyoon Monthly (2013 January-February),ماھوار سرتيون (2013 جنوري-فيبروي),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2013,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6924,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd8a83a4c8.png
2596,Sartyoon Monthly (2012 December),ماھوار سرتيون (2012 ڊسمبر),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2012,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6923,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd86543a64.png
2597,Sartyoon Monthly (2012 May),ماھوار سرتيون (2012 مئي),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2012,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6922,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd83207c3f.png
2598,Sartyoon Monthly (2012 June),ماھوار سرتيون (2012 جون),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2012,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6921,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd80d74808.png
2599,Sartyoon Monthly (2012 February),ماھوار سرتيون (2012 فيبروري),Gulbadan Javed Mirza,گلبدن جاويد مرزا,2012,"Sindhi Adabi Board, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6920,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd7e574727.png
2600,Aazadee Monthly (2008 July),ماھوار آزادي (2008 جولاء),Akhlaq Jokhio,اخلاق جوکيو,2008,"Jeay Sindh Qaumi Mahaz, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6917,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd045ade7e.png
2601,Aazadee Monthly (2001 No. 2),ماھوار آزادي (2001 نمبر 2),Tooh Sindhi,ٽوھہ سنڌي,2001,"Jeay Sindh Qaumi Mahaz, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6916,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fd01bd27a9.png
2602,"Sanjah Monthly (Vol. 9, Issue 9-10, 1998)",ماھوار ساڃاھہ (جلد 9، شمارو 9-10، 1998),Khaki Joyo,خاڪي جويو,1998,"Azeem Sindhi, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/6915,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675fccd9f08ac.png
2603,Report on the Antiquities of Kutch & Kathiawar,رپورٽ آن دي ائنٽيڪئٽيز آف ڪڇ & ڪاٺياواڙ,James Burgess,جيمس برگيز,1991,"Sindhi Adabi Board, Jamshoro.",Archeology / Architecture,English,https://lib.sindh.org/download/6914,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675c0b172759b.png
2604,Sukkur Jee Sokhri #5,سکر جي سوکڙي #5 (رتيء جي رھاڻ),Memon Abdul Majeed Sindhi,ميمڻ عبدالمجيد سنڌي,1972,"Sindhi Adabi Society, Sukkur.",Articles,Sindhi,https://lib.sindh.org/download/6913,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675bfecfc0ef3.png
2605,Sukkur Jee Sokhri #2,سکر جي سوکڙي #2 (سنڌي ڪلاسيڪي شاعري),Memon Abdul Majeed Sindhi,ميمڻ عبدالمجيد سنڌي,1968,"Sindhi Adabi Society, Sukkur.",Poetry,Sindhi,https://lib.sindh.org/download/6912,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675bfe27bccd7.png
2606,Sona Waran Sindhu,سون ورن سنڌو,Zulfiqar Halepoto,ذوالفقار ھاليپوٽو,2020,"Center for Social Change Sindh, Hyderabad.",Articles,Sindhi,https://lib.sindh.org/download/6911,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/675bfde9a24a5.png
