#,Title (English),Title (Sindhi),Author (English),Author (Sindhi),Year,Publisher,Category,Language,Link,Thumbnail
1,Wajood Ja Azab (Kahaniyoon),وجود جا عذاب (ڪھاڻيون),Muhammad Sidique Mangio,محمد صديق منگيو,2006,"Maseeha Publication, Sakrand.",Fiction,Sindhi,https://lib.sindh.org/download/9543,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eba4b3ecac.png
2,Hik Sard Deewar Aen Ba Biya Nove,ھڪ سرد ديوار ۽ ٻہ ٻيا ناول,Lal Pushp,لعل پشپ,2007,"Roshni Publication, Kandiaro.",Fiction,Sindhi,https://lib.sindh.org/download/9542,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eb9ef9bd94.png
3,Mirya Mathe Mach (Hiso Pehriyon),مڙيا مٿي مچ (حصو پھريون),Faqeer Mir Muhammad Nizamani,فقير مير محمد نظاماڻي,2010,"Al-Mehran Foundation, Sanghar.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9541,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eb92c8f06b.png
4,Garha Lafaz (Kahaniyoon),ڳاڙھا لفظ (ڪھاڻيون),Hyder Darya,حيدر دريا,2017,"Aftab-e-Adab Publication, Hyderabad.",Fiction,Sindhi,https://lib.sindh.org/download/9540,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eb8f0963fa.png
5,Awaraf Ul Muaraf (Mukamil),عوارف المعارف (مڪمل),Hazrat Umer Bin Shahabuddin Sarhandi,حضرت عمر بن محمد شھاب الدين سھروردي (مترجم پروفيسر عمر بن محمد سومار منڱريو),2013,"Mehran Academy, Shikarpur.",Religion,Sindhi,https://lib.sindh.org/download/9539,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eb8aea9a5e.png
6,Ilmi Sindhi Urdu Lughat,علمی سندھی اردو لغت,Badar Dhamraho,بدر دھامراہو,2011,"Kathiawar Store, Karachi.",Dictionary,Urdu,https://lib.sindh.org/download/9538,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eab13a0fda.png
7,Shikarpur Jee Sahafati Tareekh,شڪارپور جي صحافتي تاريخ,Dr. Anwar Figar Hakro,ڊاڪٽر انور فگار ھڪڙو,2004,"Roshni Publication, Kandiaro.",History,Sindhi,https://lib.sindh.org/download/9537,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699eaab35df0e.png
8,Sharah Sur Kalyan,شرح سر ڪلياڻ,Rasool Bakhsh Dero,رسول بخش ڏيرو,2005,"Mehran Academy, Shikarpur.",Latifyat,Sindhi,https://lib.sindh.org/download/9536,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea9a7e4e86.png
9,Shah Latif (Novel),شاھہ لطيف (ناول),Sarmad Chandio,سرمد چانڊيو,2022,"Murk Publication, Karachi.",Fiction,Sindhi,https://lib.sindh.org/download/9535,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea865e560c.png
10,Shah Jo Risalo (Juld Tiyon),شاھہ جو رسالو (جلد ٽيون),Hotchand Molchand Gurbakhshani,ھوتچند مولچند گربخشاڻي,2018,"Culture Department, Government of Sindh, Karachi.",Latifyat,Sindhi,https://lib.sindh.org/download/9534,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea74c20024.png
11,Shah Jo Risalo (Juld Biyon),شاھہ جو رسالو (جلد ٻيون),Hotchand Molchand Gurbakhshani,ھوتچند مولچند گربخشاڻي,2018,"Culture Department, Government of Sindh, Karachi.",Latifyat,Sindhi,https://lib.sindh.org/download/9533,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea722213df.png
12,Shah Jo Risalo (Juld Pehriyon),شاھہ جو رسالو (جلد پھريون),Hotchand Molchand Gurbakhshani,ھوتچند مولچند گربخشاڻي,2018,"Culture Department, Government of Sindh, Karachi.",Latifyat,Sindhi,https://lib.sindh.org/download/9532,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea6f89bc2f.png
13,Seeta Haran (Novel),سيتا ھرڻ (ناول),Qurratulain Hyder,قرة العين حيدر (ترجمو ولي رام ولڀ),1997,"Roshni Publication, Kandiaro.",Fiction,Sindhi,https://lib.sindh.org/download/9531,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea2f4b8c75.png
14,Sajan Aen Saroon,سڄڻ ۽ سارون,Dr. Abdul Waheed Memon,ڊاڪٽر عبدالوحيد ميمڻ,1998,"Memon Abdul Majeed Sindhi Adabi Academy, Larkano.",Articles,Sindhi,https://lib.sindh.org/download/9530,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea290aad06.png
15,Sat Wada Gunah (Khazania e Azam),ست وڏا گناھہ (خزانئہ اعظم),Makhdoom Abdullah Narai,مخدوم عبدﷲ نرئي (سنڌي نثر ۾ آڻيندڙ ڊاڪٽر ميمڻ عبدالمجيد سنڌي),2004,"Mehran Academy, Shikarpur.",Religion,Sindhi,https://lib.sindh.org/download/9529,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea1f13b716.png
16,"Rumia Jee Rehan (Shakhsiyat, Fikr Aen Andaz Sukhan Jo Abhyas)",روميء جي رھاڻ (شخصيت، فڪر ۽ انداز سخن جو اڀياس),Zafar Azeem,ظفر عظيم (سھيڙيندڙ سرور سھتو),2014,"Sindhi Sahat Ghar, Hyderabad.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9528,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea1685355b.png
17,Khat Aen Khayal (Saeen G. M. Syed Aen Ghulam Rabbani Agre Ja Taluqat),خط ۽ خيال (سائين جي۔ ايم۔ سيد ۽ غلام رباني آگري جا تعلقات),Dr. Azad Qazi,ڊاڪٽر آزاد قاضي,2020,"G. M. Syed Foundation, Jamshoro.",Letters,Sindhi,https://lib.sindh.org/download/9527,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699ea021476ff.png
18,Hayat Sahaba,حيات صحابہ,Abdul Rehman Jatoi And Abdul Jabbar Abd,عبدالرحمان جتوئي ۽ عبدالجبار عبد,2019,"Yadgar Publishers, Hyderabad.",Religion,Sindhi,https://lib.sindh.org/download/9526,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699e9fc5535ba.png
19,Jawahur ul lnsan,جواھر الانسان,Shams-ul-Ulma Mirza Qaleech Baig,شمس العلماء مرزا قليچ بيگ,2019,"Shams-ul-Ulama Mirza Kalich Beg Chair, University of Sindh, Jamshoro.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9525,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d74060cd4a.png
20,Thendi Naahe Pireet Purani Prem Pattar (Part I),ٿيندي ناھي پريت پراڻي پريم پتر (ڀاڱو پھريون),Hosh Muhammad Bhatti,ھوش محمد ڀٽي,2021,"Ehsaas Publication, Hyderabad.",Letters,Sindhi,https://lib.sindh.org/download/9524,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d734967535.png
21,Toon Chao Maan Kuchhaan (Akhbari Column Aen Mazmoon),تون چؤ مَ ڪڇان (اخباري ڪالم ۽ مضمون),Dileep Doshi Lohano,دليپ دوشي لوھاڻو,2016,"Diyati Publication, Islamkot.",Articles,Sindhi,https://lib.sindh.org/download/9523,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d7305e8f39.png
22,Tareekh Auliya-e-Sindh,تاريخ اولياء سندھ,Aftab Abro,آفتاب ابڑو,2012,"Culture Department, Government of Sindh, Karachi.",Religion,Urdu,https://lib.sindh.org/download/9522,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d72881422b.png
23,Aqwal e Nabi Kareem (PBUH) Encyclopedia,اقوال نبي ﷺ انسائيڪلوپيڊيا,Muhammad Saleh Khuhro,محمد صالح کھڙو,2013,"Roshni Publication, Kandiaro.",Religion,Sindhi,https://lib.sindh.org/download/9521,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d722f5c9cd.png
24,Uswa e Rasool e Akram (PBUH),اسوہ رسول اڪرم ﷺ,Arif Billah Hazrat Dr. Muhammad Abdul Hai Arifi,عارف باﷲ حضرت ڊاڪٽر محمد عبدالحي عارفي (مترجم محمد موسيٰ ڀٽو),2000,"Yadgar Publishers, Hyderabad.",Religion,Sindhi,https://lib.sindh.org/download/9520,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d71a78a6ee.png
25,Islami Tareekh Ja Naqabil e Faramosh Waqia,اسلامي تاريخ جا ناقابل فراموش واقعا,Muhammad Din Fauq,محمد دين فوق (سنڌيڪار محمد رمضان مھيري),2003,"Sindh National Academy Trust, Hyderabad.",Religion,Sindhi,https://lib.sindh.org/download/9519,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d7076ae2b6.png
26,Adab Aen Tanqeed,ادب ۽ تنقيد,Dr. Shaikh Muhammad Ibrahim Khalil,ڊاڪٽر شيخ محمد ابراھيم خليل,2001,"Mehran Academy, Shikarpur.",Literary Criticism,Sindhi,https://lib.sindh.org/download/9518,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6fd1720be.png
27,Aatam Katha Je Nale Mein (Aatam Katha),آتم ڪٿا جي نالي ۾ (آتم ڪٿا),Dr. Motilal Jotwani,ڊاڪٽر موتي لال جوتواڻي,2020,"Sindhi Sahat Ghar, Hyderabad.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9517,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6f7b57727.png
28,Hawa Jee Samhu (Shairi),ھوا جي سامھون (شاعري),Imdad Hussaini,امداد حسيني,2000,"Roshni Publication, Kandiaro.",Poetry,Sindhi,https://lib.sindh.org/download/9516,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6dfd4264b.png
29,Mittia Ja Mor Manhu (Nasar),مٽي جا مور ماڻھو (نثر),Usman Rahookro,عثمان راھوڪڙو,2015,"Usman Rahookro, Hyderabad.",Articles,Sindhi,https://lib.sindh.org/download/9515,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6dc81ecff.png
30,Mitti Aen Muhana (Novel),مٽي ۽ مھاڻا (ناول),Mansoor Thalho,منصور ٿلھو,2008,"Sindh Sahil Kharo Chhan Publication, Thatto.",Fiction,Sindhi,https://lib.sindh.org/download/9514,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6d83b34cc.png
31,Maan Darawar Des Jo (Shairi),مان دراوڙ ديس جو (شاعري),Raza Langah,رضا لانگاھہ,2018,"Sindh Rani Publication, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/9513,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6d29ed66d.png
32,Galhyoon Man Andar Joon,ڳالھيون من اندر جون (مھاڳ ۽ مضمون، خاڪا ۽ ساروڻيون),Abdul Hakeem Arshad,عبدالحڪيم ارشد (مرتب راشد احمد لکمير),2020,"Khurshed Khizir Ilmi, Adabi, Ishaitee Idaro, Nawab Shah.",Articles,Sindhi,https://lib.sindh.org/download/9512,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6cf492633.png
33,Galhyoon Kande Kaak Joon (Kahaniyoon),ڳالھيون ڪندي ڪاڪ جون (ڪھاڻيون),Pir Ubed Rashdi,پير عبيد راشدي,2007,"Saif Bukhari Academy, Hala.",Fiction,Sindhi,https://lib.sindh.org/download/9511,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6bad88d7e.png
34,Kalam Qazi (Shairi),ڪلام قاضي (شاعري),Qazi Abdul Rehman Halepoto,قاضي عبدالرحمٰن ھاليپوٽو,2014,"Mehrano Academy, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/9510,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6b06c03ce.png
35,Shakhsiyat (Part III),شخصيات (ڀاڱون ٽيون),Noor Muhammad Bhutto,نور محمد ڀٽو,2016,"Sij Publication, Hyderabad.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9509,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6a9039b3b.png
36,Shairia Jo Akash,شاعريء جو آڪاش (گڏيل شاعري - ڀاڱو پھريون),Ahsan Akash,احسان آڪاش,2017,"Aakash Publication, Kamber.",Poetry,Sindhi,https://lib.sindh.org/download/9508,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699d6a136d117.png
37,Sochan Jo Safar (Nasar Aen Shairi),سوچن جو سفر (نثر ۽ شاعري),Noor Muhammad Noor Samoon,نور محمد نور سمون,2009,"Sindhi Adabi Sangat Shakh Pangrio, Badin.",Poetry,Sindhi,https://lib.sindh.org/download/9507,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c400a3369c.png
38,"Sindhi Boli Research Journal (Vol. 13, Issue 1, 2020)",سنڌي ٻولي تحقيقي جرنل (جلد 13، شمارو 1، 2020),Shabnum Gul,شبنم گل,2020,"Sindhi Language Authority, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/9506,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3fea13bab.png
39,"Sindhi Boli Research Journal (Vol. 12, Issue 1, 2019)",سنڌي ٻولي تحقيقي جرنل (جلد 12، شمارو 1، 2019),Shabnum Gul,شبنم گل,2019,"Sindhi Language Authority, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/9505,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3fd014ea0.png
40,"Sindhi Boli Research Journal (Vol. 10, Issue 2, 2017)",سنڌي ٻولي تحقيقي جرنل (جلد 10، شمارو 2، 2017),Dr. Abdul Ghafoor Memon,ڊاڪٽر عبدالغفور ميمڻ,2017,"Sindhi Language Authority, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/9504,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3f89c11bf.png
41,Sindhu Maathri Khan Sadd [The Call From Indus Valley],سنڌو ماٿري کان سڏ,Ghani Kandhro,غني ڪانڌڙو,2016,"Sansaar Kandhro, Karachi.",Rivers / Water,Sindhi,https://lib.sindh.org/download/9503,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3eb8e2a69.png
42,Salamatia Jo Sadd,سلامتيء جو سڏ (چونڊ ديني ۽ اصلاحي مضمون),K. Q. Soomro,خ ق سومرو,1982,"Qaumi Hijri Committee, Islamabad.",Religion,Sindhi,https://lib.sindh.org/download/9502,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3e306b112.png
43,Saraswati Tahzeeb Aen Achhro Thar (Tahqeeq Aen Tareekh),سرسوتي تھذيب ۽ اڇڙو ٿر (تحقيق ۽ تاريخ),M. B. Mashkoor Phalkaro,محمد بخش مشڪور ڦلڪارو,2019,"Radio Voice of Sindh, London, Hyderabad.",Research,Sindhi,https://lib.sindh.org/download/9501,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3d75405e1.png
44,Sarjanhaar - II (Khairpur Je Shairan Jee Shairi),سرجڻھار - ۲ (خيرپور جي شاعرن جي شاعري),Kousar Buriro,ڪوثر ٻرڙو,2019,"Popat Publishing House, Khairpur.",Poetry,Sindhi,https://lib.sindh.org/download/9500,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3cf43f87c.png
45,Sajan Ditho Jan (Mazmoon Aen Tasurat),سڄڻ ڏٺو جن (مضمون ۽ تاثرات),Aijaz Gorar And Javed Gorar,سھيڙيندڙ اعجاز ڳورڙ ۽ جاويد ڳورڙ,2014,"Bisharat Publication, Karachi.",Articles,Sindhi,https://lib.sindh.org/download/9499,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3c38df806.png
46,Sandhay Chhad Saah Mein (Shairi),سانڍي ڇڏ ساھہ ۾ (شاعري),Kamil Imdad Jatoi,ڪامل امداد جتوئي,2014,"Sujagi Publication, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/9498,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c3bcc31f10.png
47,"Daat Jee Devi (Seema Abbasi, Fan, Fikr, Aen Shakhsiyat)",ڏات جي ديوي (سيما عباسي، فن، فڪر ۽ شخصيت),Ghulam Mustafa Solangi,غلام مصطفيٰ سولنگي,2018,"Sindh Rani Publication, Hyderabad.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9497,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c1c8c41332.png
48,Dandrous Qedeea Jee Diary,ڊانڊرس قيديء جي ڊائري,Shabir Shar,شبير شر,2019,"Sindhica Academy, Karachi.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9496,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c178470452.png
49,Dam-e-Deedar Mee Raqsam (Shairi),دم ديدار مي رقصم (شاعري),"Hafi ul Hafeez ""Al Hafan""",حفي الحفيظ الحفن,2017,"Sambara Publication, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/9495,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c172320b41.png
50,Duaon Nind Maan Jagiyoon (Shairi),دعائون ننڊ مان جاڳيون (شاعري),Raza Langah,رضا لانگاھہ,2014,"Sindhi Adabi Sangat Shakh, Moro.",Poetry,Sindhi,https://lib.sindh.org/download/9494,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c169e31515.png
51,Khamoshiyun Je Des Mein,خاموشين جي ديس ۾,Jaya Jadwani,جيا جادواڻي (سنڌيڪار کيمن مولاڻي),2017,"Sindhiya Publications, Karachi.",Fiction,Sindhi,https://lib.sindh.org/download/9493,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c15cb0e08d.png
52,Chal Pal Jo Chatko (Shairi),چل پل جو چٽڪو (شاعري),Sardar Meer Shah Pasand Khan Chandio,سردار مير شاھہ پسند خان چانڊيو (مرتب عبدالجبار عبد),2010,"Fawad Academy, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/9492,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c11275718d.png
53,Jeke Ditho So Moon (Aatam Kahani),جيڪي ڏٺو سو مون (آتم ڪھاڻي),Dr. Nawaz Ali Mahamdani Khuwaja,ڊاڪٽر نواز علي محمداڻي خواجہ,2013,"Dr. Nawaz Ali, Hyderabad.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9491,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c10d556c87.png
54,Tosaan Kehriyoon Reesoon (Shairi),توسان ڪھڙيون ريسون (شاعري),Nisar Ahmed Naaz,نثار احمد ناز,2014,"Bhittai Arts Council Sindh and Young Writers Forum Sindh, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/9490,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c0fd7adbbb.png
55,Aghia Sutt Sanda,اگھيا سٽ سندا (شاھہ عبداللطيف ڀٽائيء جي شاعري ۽ فڪر بابت مقالا، مضمون ۽ ليڪچر),Dr. Noor Afroz Khuwaja,ڊاڪٽر نور افروز خواجہ,2007,"Shah Latif Research Cell, Department of Sindhi, Univerity of Sindh, Jamshoro.",Latifyat,Sindhi,https://lib.sindh.org/download/9489,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c0f9ef00db.png
56,"Ahsas Ja Rang (Kahaniyoon, Saroniyoon, Aen Column)",احساس جا رنگ ( ڪھاڻيون، ساروڻيون ۽ ڪالم),Fatima Bhurgri,فاطمہ ڀرڳڙي,2014,"Young Writers Forum Sindh, Hyderabad.",Fiction,Sindhi,https://lib.sindh.org/download/9488,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c0a588a980.png
57,Aau Akelo Rahun Mein (Shairi),آءُ اڪيلو راھن ۾ (شاعري),Manthar Solangi,منٺار سولنگي,2019,"Manthar Solangi Academy, Naudero.",Poetry,Sindhi,https://lib.sindh.org/download/9487,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699c050ee92d1.png
58,Mutaleo Sindh Jo (Hiso Biyo),مطالعو سنڌ جو (حصو ٻيو),Ghulam Muhammad Lakho,غلام محمد لاکو,2004,"Sindh Tahqiqi Board, Hyderabad.",History,Sindhi,https://lib.sindh.org/download/9486,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982baa27da8.png
59,Muntakhib-al-Maloomat,منتخب المعلومات,Shams-ul-Ulma Mirza Qaleech Baig,شمس العلماء مرزا قليچ بيگ,2018,"Mirza Kalich Beg Chair, University of Sindh, Jamshoro.",Learning,Sindhi,https://lib.sindh.org/download/9485,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982b0b4021e.png
60,Nandhay Khand Mein Dramy Jee Ausar,ننڍي کنڊ ۾ ڊرامي جي اؤسر,Ghulam Hyder Sidiquee,غلام حيدر صديقي,2008,"Department of Culture and Tourism, Karachi.",Literature,Sindhi,https://lib.sindh.org/download/9484,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982a7e9abe8.png
61,Kulyat e Hamal,ڪليات حمل,Dr. Nabi Bakhsh Khan Baloch,ڊاڪٽر نبي بخش خان بلوچ,1991,"Sindhi Adabi Board, Jamshoro.",Poetry,Sindhi,https://lib.sindh.org/download/9483,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982a1db8887.png
62,Bhagwandan Jo Shahar Malaysia (Safarnamo),ڀاڳوندن جو ملڪ ملائشيا (سفرنامو),Dr. Shahmurad Chandio,ڊاڪٽر شاھمراد چانڊيو,2019,"Kanwal Publication, Kamber.",Travelogue,Sindhi,https://lib.sindh.org/download/9482,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982a17d9cc2.png
63,Wafa Je Safar Mein (Shairi),وفا جي سفر ۾ (شاعري),Subhash Babu,سڀاش بابو,2017,"Kavita Publication, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/9481,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982a17b95c2.png
64,Thaak Na Koi Rooh Jo [No Solace to the Soul] (Poetry),ٿاڪ نہ ڪوئي روح جو (شاعري),Sarang Sahito,سارنگ سھتو,2023,"Safalta Publication, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/9480,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982993504b9.png
65,To Bin Muhinja Geet Unjayal (Shairi),تو بن منھنجا گيت اڃايل (شاعري),Hasrat Shahani,حسرت شاھاڻي,2005,"Sindh Book Club, Nawabshah.",Poetry,Sindhi,https://lib.sindh.org/download/9479,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982828cdd7a.png
66,The Sindh Civil List (1954),دي سنڌ سول لسٽ (1954),Government of Sindh,حڪومت سنڌ,1954,"Government of Sindh, Karachi.",Reports,English,https://lib.sindh.org/download/9478,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699825be7ba4d.png
67,"Provincial Assembly of West Pakistan Debates (Vol. 7, No. 33, 1968)",پروونشل اسيمبلي آف ويسٽ پاڪستان ڊبيٽس (واليوم 7، نمبر 33، 1965),Government of West Pakistan,گورنمينٽ آف ويسٽ پاڪستان,1968,"Government of West Pakistan, Lahore.",Reports,English,https://lib.sindh.org/download/9477,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982566e3668.png
68,"Provincial Assembly of West Pakistan Debates (Vol. 7, No. 26, 1968)",پروونشل اسيمبلي آف ويسٽ پاڪستان ڊبيٽس (واليوم 7، نمبر 26، 1968),Government of West Pakistan,گورنمينٽ آف ويسٽ پاڪستان,1968,"Government of West Pakistan, Lahore.",Reports,English,https://lib.sindh.org/download/9476,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699825378caef.png
69,"Annual Report of River and Climatological Data of West Pakistan (Vol. 3, 1968)",اينيوئل رپورٽ آف رور اينڊ ڪلائيميٽولوجيڪل ڊيٽا آف ويسٽ پاڪستان (واليوم 3، 1968),Ch. Mohammad Umar,چوڌري محمد عمر,1968,"Surface Water Hydrology Project، WASID WAPDA, Lahore.",Reports,English,https://lib.sindh.org/download/9475,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982429e7792.png
70,"Annual Report of River and Climatological Data of West Pakistan (Vol. 2, 1967)",اينيوئل رپورٽ آف رور اينڊ ڪلائيميٽولوجيڪل ڊيٽا آف ويسٽ پاڪستان (واليوم 2، 1967),Ch. Mohammad Umar,چوڌري محمد عمر,1967,"Surface Water Hydrology Project، WASID WAPDA, Lahore.",Reports,English,https://lib.sindh.org/download/9474,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699823e7e3b81.png
71,"Annual Report of River and Climatological Data of West Pakistan (Vol. 2, 1963)",اينيوئل رپورٽ آف رور اينڊ ڪلائيميٽولوجيڪل ڊيٽا آف ويسٽ پاڪستان (واليوم 2، 1963),Ch. Mohammad Umar,چوڌري محمد عمر,1963,"Surface Water Circle، WASID WAPDA, Lahore.",Reports,English,https://lib.sindh.org/download/9473,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699823b00e97d.png
72,"Annual Report of River and Climatological Data of West Pakistan (Vol. 1, 1966)",اينيوئل رپورٽ آف رور اينڊ ڪلائيميٽولوجيڪل ڊيٽا آف ويسٽ پاڪستان (واليوم 1، 1966),Ch. Mohammad Umar,چوڌري محمد عمر,1966,"Surface Water Circle، WASID WAPDA, Lahore.",Reports,English,https://lib.sindh.org/download/9472,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69982386e6afa.png
73,Ho Manhu Ho Ya Motia Dano (Shakhsiyat: Shafi Muhammad Shah),ھو ماڻھو ھو يا موتيء داڻو (شخصيت: شفيع محمد شاھہ),Nagina Hisbani,نگينہ ھيسباڻي,2008,"Naon Janam Publication, Hyderabad.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9471,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/699581090b39b.png
74,Hik Sij Ba Pachha (Yadgeeriyoon),ھڪ سج ٻہ پاڇا (يادگيريون),Ghulam Abbas Bhanbhro,غلام عباس ڀنڀرو,2017,"Popat Publishing House, Khairpur.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/9470,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/69956685ed664.png
75,Mojooda Siyasi Sawal Aen Faryad-e-Sindh,موجوده سياسي سوال ۽ فرياد سنڌ,Pir Ali Muhammad Rashdi,پير علي محمد راشدي (مرتب آزاد قاضي),2011,"Indus Academy, Karachi.",Politics,Sindhi,https://lib.sindh.org/download/9469,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/6995633eb1a53.png
76,Kandria Jo Kultar Sufi Rohal Faqeer,ڪنڊڙيء جو ڪلتار صوفي روحل فقير,Dr. Nawaz Ali Shauq,ڊاڪٽر نواز علي شوق,2001,"Sukkur Historical Society, Sukkur.",Poetry,Sindhi,https://lib.sindh.org/download/9468,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/6995622e0cc15.png
